invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I769043,47,Female,19,Toys,2,333.35,Credit Card,11-13-2022,Zorlu Center
I821442,76,Female,31,Stationery,5,1879.53,Credit Card,10-01-2022,Mall of Istanbul
I294850,93,Female,43,Healthcare,6,307.88,Debit Card,04-27-2022,Metrocity
I989981,33,Male,77,Electronics,10,1083.82,Debit Card,11-15-2022,Optimum Outlet
I424039,33,Male,57,Electronics,8,1097.96,Debit Card,05-17-2023,Cevahir Mall
I274499,31,Female,55,Stationery,3,2707.5,Cash,01-05-2023,Emaar Square Mall
I571295,23,Male,35,Books,2,2316.81,Cash,02-28-2023,Optimum Outlet
I570558,38,Male,20,Beauty,10,351.88,Debit Card,03-20-2023,Forum Istanbul
I190156,85,Female,29,Furniture,5,2859.57,Debit Card,02-27-2024,Kanyon
I218256,37,Female,74,Beauty,8,562.45,Debit Card,09-23-2023,Viaport Outlet
I455927,25,Female,27,Kitchenware,5,1228.06,Debit Card,09-24-2023,Metrocity
I236237,68,Male,44,Jewelry,7,2998.29,Cash,11-17-2022,Istinye Park
I049902,78,Female,43,Jewelry,7,2623.59,Credit Card,04-30-2023,Forum Istanbul
I298831,66,Male,37,Sports Equipment,2,1161.67,Debit Card,12-21-2023,Emaar Square Mall
I876960,93,Female,42,Shoes,4,1751.19,Debit Card,11-04-2022,Kanyon
I826911,43,Female,20,Stationery,8,2974.93,Credit Card,07-17-2022,Kanyon
I152672,20,Female,50,Healthcare,3,2605.94,Cash,07-25-2022,Istinye Park
I624980,83,Female,69,Stationery,8,2372.26,Cash,09-10-2022,Akasya Acıbadem
I420762,40,Male,76,Shoes,2,1082.91,Cash,07-17-2023,Akasya Acıbadem
I754008,54,Female,57,Garden Supplies,1,1556.96,Cash,11-27-2022,Metropol AVM
I958511,80,Male,73,Furniture,9,879.37,Cash,12-19-2023,Cevahir Mall
I387882,29,Male,69,Electronics,6,1026.99,Credit Card,09-07-2023,Kanyon
I217846,75,Male,53,Books,3,611.7,Cash,08-09-2023,Emaar Square Mall
I198988,53,Male,68,Sports Equipment,3,934.33,Cash,01-08-2023,Metropol AVM
I073988,3,Male,48,Home Appliances,2,1258.39,Credit Card,02-18-2024,Marmara Forum
I827188,86,Female,46,Grocery,5,2491.6,Cash,04-03-2023,Akasya Acıbadem
I284372,94,Female,40,Toys,6,56.01,Credit Card,05-06-2022,Istanbul Sapphire
I013892,40,Female,67,Beauty,9,274.95,Credit Card,09-23-2023,Emaar Square Mall
I639591,32,Male,33,Stationery,8,977.95,Credit Card,04-12-2024,Marmara Forum
I919214,34,Female,70,Sports Equipment,10,270.34,Debit Card,05-21-2023,Mall of Istanbul
I736535,87,Male,27,Grocery,5,958.89,Debit Card,04-06-2023,Capacity
I270957,34,Male,18,Toys,4,442.57,Cash,07-18-2023,Capacity
I763063,44,Female,64,Garden Supplies,8,1147.87,Debit Card,11-09-2023,Emaar Square Mall
I387334,85,Female,29,Books,4,1190.76,Credit Card,03-15-2024,Kanyon
I421496,66,Female,46,Kitchenware,10,944.75,Cash,10-01-2022,Emaar Square Mall
I963502,45,Female,29,Jewelry,1,2198.48,Debit Card,10-16-2023,Istinye Park
I456442,82,Male,31,Furniture,8,1278.82,Credit Card,02-10-2023,Metropol AVM
I497105,20,Female,54,Home Appliances,2,1689.92,Cash,01-19-2024,Forum Istanbul
I638762,18,Female,62,Shoes,2,2100.84,Cash,08-31-2023,Capacity
I102480,39,Female,78,Grocery,5,544.98,Cash,05-06-2022,Metrocity
I461642,31,Female,79,Books,1,1169.36,Debit Card,06-06-2022,Akasya Acıbadem
I607714,52,Female,64,Electronics,10,1985.32,Debit Card,09-17-2023,Cevahir Mall
I195028,9,Male,64,Sports Equipment,6,1955.41,Cash,02-22-2023,Metrocity
I486959,28,Male,50,Stationery,2,320.05,Cash,07-09-2023,Marmara Forum
I867585,45,Female,21,Electronics,6,246.56,Cash,07-26-2023,Marmara Forum
I874226,68,Female,27,Shoes,2,2448.22,Debit Card,12-06-2022,Kanyon
I756202,72,Female,32,Toys,1,916.22,Debit Card,09-22-2023,Metrocity
I235126,79,Male,49,Healthcare,5,1420.63,Cash,12-13-2023,Optimum Outlet
I704542,5,Female,49,Jewelry,9,2924.1,Credit Card,09-16-2023,Akasya Acıbadem
I495687,83,Female,30,Shoes,2,1426.13,Cash,06-21-2022,Zorlu Center
I303789,96,Female,58,Garden Supplies,3,953.92,Cash,10-23-2023,Metrocity
I475622,39,Male,66,Jewelry,4,2300.66,Credit Card,11-01-2022,Capacity
I403641,32,Male,73,Grocery,9,1840.04,Credit Card,02-14-2023,Istanbul Sapphire
I416035,82,Male,69,Jewelry,10,1259.84,Credit Card,02-24-2023,Metrocity
I061403,63,Male,24,Grocery,5,974.2,Cash,07-22-2023,Marmara Forum
I237378,87,Female,47,Shoes,1,472.3,Debit Card,05-31-2022,Metrocity
I200593,4,Female,35,Healthcare,4,2118.66,Cash,01-01-2024,Marmara Forum
I676791,84,Male,75,Toys,2,2580.54,Cash,09-20-2023,Metropol AVM
I011652,64,Male,74,Furniture,1,106.63,Debit Card,07-20-2022,Metropol AVM
I671671,38,Female,75,Sports Equipment,1,2377.74,Debit Card,09-13-2022,Istanbul Sapphire
I891036,19,Female,51,Electronics,7,1571.16,Credit Card,04-18-2024,Mall of Istanbul
I937066,55,Male,72,Grocery,1,630.31,Debit Card,09-26-2022,Istinye Park
I178619,90,Female,67,Grocery,8,1971.34,Debit Card,01-10-2024,Forum Istanbul
I734353,21,Female,29,Beauty,6,76.71,Debit Card,04-15-2024,Istinye Park
I881968,93,Female,39,Home Appliances,1,2935.91,Credit Card,01-22-2023,Optimum Outlet
I747928,44,Male,69,Electronics,4,894.9,Credit Card,05-11-2023,Zorlu Center
I544728,26,Male,55,Jewelry,3,216.88,Cash,11-06-2022,Cevahir Mall
I808246,47,Male,53,Shoes,4,1451.92,Cash,07-02-2023,Istanbul Sapphire
I308127,14,Male,71,Healthcare,1,1920.4,Debit Card,02-20-2023,Capacity
I387209,83,Female,48,Toys,6,859.92,Debit Card,01-28-2024,Emaar Square Mall
I074766,8,Female,32,Toys,6,1118.69,Credit Card,07-19-2022,Mall of Istanbul
I470263,22,Male,69,Books,9,1238.45,Cash,09-16-2022,Capacity
I545473,7,Female,29,Shoes,6,1207.65,Debit Card,09-18-2023,Istinye Park
I722111,97,Male,79,Grocery,4,343.14,Cash,08-07-2022,Marmara Forum
I571247,44,Female,63,Kitchenware,9,126.2,Cash,02-28-2024,Istanbul Sapphire
I952112,45,Female,45,Garden Supplies,4,2575.88,Debit Card,09-13-2022,Zorlu Center
I105295,47,Female,62,Clothing,3,744.27,Cash,04-14-2024,Optimum Outlet
I618485,75,Male,34,Garden Supplies,6,1067.4,Credit Card,02-19-2023,Zorlu Center
I441094,44,Female,46,Garden Supplies,10,1166.01,Cash,01-09-2024,Istanbul Sapphire
I840601,69,Male,26,Beauty,10,1013.71,Credit Card,08-20-2022,Capacity
I539176,89,Female,23,Kitchenware,6,2653.68,Credit Card,01-23-2024,Cevahir Mall
I725448,74,Female,27,Grocery,10,1032.34,Credit Card,08-20-2022,Mall of Istanbul
I936679,80,Male,23,Kitchenware,9,35.87,Debit Card,05-07-2022,Mall of Istanbul
I226110,5,Female,63,Clothing,3,2802.03,Debit Card,05-22-2022,Zorlu Center
I045227,7,Male,45,Stationery,3,1117.71,Debit Card,05-23-2023,Metropol AVM
I746976,87,Female,46,Shoes,2,1955.96,Debit Card,11-06-2023,Akasya Acıbadem
I694569,76,Female,63,Grocery,8,2975.62,Cash,01-20-2023,Zorlu Center
I801375,69,Male,32,Books,5,2882.55,Credit Card,10-27-2023,Metropol AVM
I216695,79,Male,56,Sports Equipment,10,2576.76,Debit Card,07-15-2022,Metropol AVM
I400432,70,Female,61,Grocery,3,1968.35,Debit Card,12-05-2022,Capacity
I098599,48,Male,68,Toys,7,959.13,Debit Card,12-06-2023,Kanyon
I620746,25,Female,47,Beauty,8,857.58,Credit Card,02-01-2023,Metrocity
I915640,83,Male,65,Home Appliances,9,2050.95,Debit Card,01-03-2024,Metrocity
I336836,74,Male,67,Healthcare,10,16.94,Credit Card,09-09-2023,Mall of Istanbul
I298543,46,Male,72,Jewelry,10,2230.1,Credit Card,04-21-2024,Istanbul Sapphire
I394596,54,Female,40,Electronics,6,381.64,Credit Card,06-04-2022,Cevahir Mall
I541376,70,Male,66,Shoes,1,1719.08,Debit Card,03-26-2024,Metropol AVM
I725946,37,Male,59,Books,1,2285.43,Credit Card,08-17-2022,Viaport Outlet
I196215,61,Male,39,Stationery,2,199.18,Cash,10-02-2023,Optimum Outlet
I509941,0,Male,39,Garden Supplies,3,1429.77,Debit Card,08-05-2022,Capacity
I847528,16,Male,63,Home Appliances,10,794.63,Debit Card,04-10-2024,Viaport Outlet
I925395,41,Male,42,Toys,1,513.81,Credit Card,02-28-2024,Marmara Forum
I882749,8,Male,40,Beauty,8,26.33,Credit Card,04-25-2022,Marmara Forum
I582259,96,Male,61,Garden Supplies,7,2316.06,Cash,09-01-2023,Viaport Outlet
I415355,87,Male,20,Home Appliances,9,361.31,Debit Card,10-14-2022,Marmara Forum
I431652,28,Male,62,Kitchenware,6,1046.89,Debit Card,02-23-2023,Capacity
I707783,26,Male,77,Toys,6,29.43,Cash,08-16-2022,Capacity
I689405,61,Female,38,Sports Equipment,8,873.93,Debit Card,08-11-2022,Cevahir Mall
I588454,8,Female,38,Toys,4,1278.86,Credit Card,01-19-2023,Istinye Park
I746149,93,Female,23,Toys,5,554.71,Credit Card,02-14-2024,Cevahir Mall
I366888,75,Female,23,Furniture,1,1166.91,Debit Card,11-02-2022,Kanyon
I337780,12,Male,56,Jewelry,9,950.0,Credit Card,09-28-2022,Emaar Square Mall
I069974,32,Male,40,Kitchenware,9,1821.27,Credit Card,12-06-2022,Mall of Istanbul
I068469,54,Male,71,Stationery,8,490.01,Credit Card,12-28-2023,Viaport Outlet
I072315,65,Male,69,Shoes,7,386.34,Credit Card,10-05-2022,Mall of Istanbul
I571086,89,Female,19,Healthcare,3,2033.12,Debit Card,11-30-2023,Metrocity
I291422,16,Female,46,Grocery,3,490.13,Debit Card,09-18-2022,Istanbul Sapphire
I089614,42,Male,70,Furniture,6,25.33,Credit Card,04-11-2024,Metrocity
I356428,55,Male,72,Electronics,5,1214.81,Cash,11-30-2022,Marmara Forum
I134255,34,Male,72,Grocery,1,811.55,Credit Card,07-25-2022,Cevahir Mall
I929625,48,Female,57,Sports Equipment,5,73.6,Credit Card,10-29-2022,Marmara Forum
I670649,24,Female,38,Shoes,7,42.0,Debit Card,01-21-2024,Viaport Outlet
I276366,61,Male,52,Jewelry,7,2429.9,Cash,09-15-2022,Forum Istanbul
I676869,6,Male,64,Kitchenware,8,477.55,Debit Card,03-13-2023,Cevahir Mall
I634570,2,Male,61,Sports Equipment,1,1436.04,Cash,08-10-2023,Metrocity
I271159,31,Male,75,Electronics,1,1813.73,Debit Card,07-11-2023,Metrocity
I598284,70,Male,36,Shoes,9,2983.3,Debit Card,02-28-2023,Kanyon
I873191,80,Male,21,Grocery,6,1646.37,Cash,02-13-2023,Kanyon
I987998,31,Female,73,Clothing,10,1876.99,Credit Card,12-29-2023,Marmara Forum
I370546,14,Male,66,Clothing,4,694.21,Credit Card,10-05-2022,Mall of Istanbul
I658912,20,Female,28,Books,4,702.6,Credit Card,08-24-2022,Zorlu Center
I085920,16,Female,80,Furniture,9,35.04,Cash,06-18-2022,Kanyon
I893419,71,Female,25,Clothing,3,1785.17,Debit Card,03-05-2023,Kanyon
I340814,6,Female,67,Healthcare,7,2065.5,Cash,11-29-2022,Capacity
I679471,78,Male,51,Toys,6,2880.53,Debit Card,11-06-2023,Forum Istanbul
I404490,61,Female,73,Healthcare,6,1325.66,Cash,03-31-2024,Capacity
I349806,48,Female,50,Grocery,2,1722.17,Credit Card,04-11-2024,Viaport Outlet
I593311,68,Male,37,Stationery,10,144.98,Debit Card,07-25-2023,Marmara Forum
I846650,72,Female,29,Home Appliances,7,1042.07,Debit Card,07-30-2022,Forum Istanbul
I721507,89,Female,68,Home Appliances,4,485.78,Credit Card,03-07-2024,Optimum Outlet
I228319,74,Female,44,Jewelry,7,1348.52,Cash,03-13-2023,Kanyon
I081121,53,Female,67,Shoes,7,1724.46,Debit Card,05-11-2022,Mall of Istanbul
I600723,99,Male,75,Grocery,5,2595.69,Cash,06-20-2022,Metropol AVM
I107574,79,Male,33,Books,2,911.06,Cash,08-25-2023,Emaar Square Mall
I751590,6,Male,29,Stationery,10,455.05,Cash,09-29-2022,Forum Istanbul
I785490,3,Male,54,Sports Equipment,2,268.18,Credit Card,11-27-2023,Istanbul Sapphire
I446490,55,Female,19,Healthcare,9,38.4,Debit Card,07-03-2023,Istinye Park
I060265,55,Female,62,Stationery,9,504.1,Credit Card,06-24-2023,Zorlu Center
I395460,29,Male,64,Sports Equipment,9,2158.0,Debit Card,06-12-2023,Marmara Forum
I786772,31,Female,76,Furniture,8,536.01,Credit Card,10-24-2023,Optimum Outlet
I423440,3,Male,71,Clothing,7,242.4,Cash,02-05-2024,Metropol AVM
I463190,72,Female,71,Garden Supplies,5,98.81,Debit Card,08-28-2023,Akasya Acıbadem
I800785,8,Female,23,Kitchenware,4,795.4,Credit Card,03-12-2023,Kanyon
I553136,58,Female,22,Books,9,480.36,Debit Card,12-07-2023,Akasya Acıbadem
I787963,78,Female,77,Shoes,8,2476.76,Credit Card,05-01-2023,Zorlu Center
I526218,62,Male,60,Furniture,1,442.05,Debit Card,12-12-2023,Emaar Square Mall
I375889,79,Female,34,Stationery,10,956.47,Cash,07-22-2023,Akasya Acıbadem
I866098,4,Female,49,Kitchenware,7,803.51,Credit Card,03-21-2024,Mall of Istanbul
I217330,85,Male,68,Jewelry,1,148.96,Debit Card,03-03-2024,Istinye Park
I854160,98,Male,77,Home Appliances,5,1973.25,Cash,08-20-2022,Istinye Park
I724337,95,Male,73,Home Appliances,4,601.31,Debit Card,10-10-2023,Istinye Park
I750016,9,Female,27,Toys,1,2338.77,Credit Card,04-15-2024,Forum Istanbul
I626442,10,Female,75,Garden Supplies,5,110.24,Credit Card,10-02-2022,Metrocity
I714264,16,Male,20,Sports Equipment,4,355.14,Credit Card,12-03-2022,Forum Istanbul
I603503,76,Male,78,Clothing,5,1979.39,Debit Card,11-04-2022,Metrocity
I212307,33,Female,24,Electronics,6,2588.81,Debit Card,11-11-2023,Optimum Outlet
I137588,98,Male,72,Jewelry,5,1511.92,Cash,04-06-2023,Metrocity
I080098,13,Female,20,Clothing,4,2189.33,Cash,11-28-2023,Metrocity
I557410,15,Female,61,Jewelry,2,2861.01,Credit Card,01-17-2023,Marmara Forum
I386890,2,Female,65,Clothing,10,2080.53,Cash,02-10-2024,Mall of Istanbul
I825533,84,Female,50,Kitchenware,10,381.39,Cash,12-29-2023,Istinye Park
I331515,52,Male,60,Electronics,5,1924.56,Credit Card,02-16-2024,Kanyon
I937882,26,Male,61,Kitchenware,7,1168.99,Credit Card,07-14-2023,Istinye Park
I116761,77,Male,45,Jewelry,8,1974.37,Credit Card,07-22-2022,Zorlu Center
I747749,62,Female,67,Sports Equipment,4,105.54,Cash,07-11-2022,Emaar Square Mall
I566861,80,Female,45,Electronics,9,501.59,Cash,09-18-2023,Istinye Park
I043205,54,Male,19,Stationery,9,2100.24,Debit Card,09-06-2023,Optimum Outlet
I340808,5,Female,19,Shoes,1,1953.84,Debit Card,12-24-2023,Akasya Acıbadem
I865457,94,Female,40,Grocery,2,2328.96,Debit Card,09-08-2023,Forum Istanbul
I848634,65,Male,22,Shoes,2,1373.5,Debit Card,09-26-2023,Marmara Forum
I101837,94,Male,61,Shoes,2,2999.7,Debit Card,09-20-2023,Mall of Istanbul
I512445,69,Female,51,Shoes,6,243.28,Credit Card,12-04-2023,Kanyon
I132435,35,Female,42,Garden Supplies,6,837.17,Cash,08-11-2023,Akasya Acıbadem
I760062,93,Male,39,Books,1,367.22,Cash,11-02-2023,Cevahir Mall
I769835,0,Female,58,Shoes,3,1666.9,Cash,07-05-2023,Cevahir Mall
I139635,48,Male,34,Stationery,3,2252.76,Credit Card,02-18-2023,Istanbul Sapphire
I933786,99,Male,65,Grocery,4,1079.27,Debit Card,03-24-2024,Kanyon
I876564,63,Female,31,Home Appliances,3,2882.5,Debit Card,04-09-2024,Forum Istanbul
I331294,80,Male,42,Healthcare,10,198.64,Credit Card,03-15-2023,Emaar Square Mall
I210817,35,Male,30,Books,4,2416.71,Cash,12-28-2022,Mall of Istanbul
I880371,93,Male,49,Electronics,3,33.38,Debit Card,06-11-2022,Metropol AVM
I318781,44,Female,78,Electronics,3,2856.74,Cash,10-17-2022,Forum Istanbul
I446242,18,Male,27,Grocery,2,157.4,Debit Card,11-14-2023,Istanbul Sapphire
I745384,33,Male,51,Beauty,3,2994.0,Cash,05-05-2023,Cevahir Mall
I839942,65,Male,42,Toys,4,829.32,Credit Card,03-21-2024,Emaar Square Mall
I359881,27,Female,32,Stationery,6,288.02,Debit Card,09-19-2023,Cevahir Mall
I268518,41,Female,49,Garden Supplies,3,1473.33,Credit Card,09-26-2023,Kanyon
I827291,82,Male,43,Healthcare,5,1873.85,Credit Card,05-29-2022,Viaport Outlet
I492430,78,Male,23,Books,4,179.12,Credit Card,09-10-2023,Forum Istanbul
I052930,26,Female,50,Books,4,2240.84,Cash,12-23-2023,Marmara Forum
I986712,70,Male,64,Jewelry,7,2559.63,Cash,09-17-2022,Istinye Park
I861740,6,Male,31,Toys,2,276.87,Cash,08-22-2022,Optimum Outlet
I028575,33,Female,75,Home Appliances,4,1201.56,Debit Card,03-16-2023,Forum Istanbul
I123047,43,Female,23,Electronics,1,698.26,Cash,09-18-2023,Optimum Outlet
I419505,85,Male,64,Stationery,6,1812.38,Debit Card,08-27-2023,Kanyon
I214624,65,Female,66,Home Appliances,1,789.27,Cash,08-03-2023,Capacity
I609055,58,Male,42,Jewelry,10,608.82,Credit Card,12-16-2022,Marmara Forum
I953469,2,Male,61,Toys,9,1776.19,Credit Card,01-28-2024,Akasya Acıbadem
I207376,63,Male,30,Electronics,4,80.24,Debit Card,03-20-2024,Emaar Square Mall
I773058,79,Male,72,Clothing,10,884.22,Cash,05-12-2023,Capacity
I174668,86,Male,44,Garden Supplies,1,1616.36,Debit Card,12-21-2022,Optimum Outlet
I074201,42,Female,26,Sports Equipment,2,2222.68,Credit Card,03-25-2024,Istinye Park
I095952,38,Male,36,Furniture,9,2660.47,Debit Card,08-05-2022,Akasya Acıbadem
I713783,69,Female,46,Electronics,9,2505.15,Cash,10-13-2023,Akasya Acıbadem
I138783,11,Female,22,Garden Supplies,9,1439.41,Debit Card,07-22-2023,Emaar Square Mall
I944958,90,Male,36,Furniture,3,1945.48,Cash,11-08-2023,Mall of Istanbul
I706853,77,Male,66,Garden Supplies,10,155.94,Debit Card,09-07-2022,Optimum Outlet
I063646,55,Female,58,Shoes,9,2137.09,Credit Card,10-04-2022,Capacity
I308392,71,Male,47,Clothing,6,1291.78,Cash,10-14-2023,Metropol AVM
I990638,48,Female,67,Shoes,7,1241.14,Debit Card,02-29-2024,Istanbul Sapphire
I691670,25,Female,24,Garden Supplies,2,2762.74,Credit Card,12-09-2022,Optimum Outlet
I073356,48,Male,52,Toys,10,2128.61,Credit Card,07-27-2023,Forum Istanbul
I693755,6,Male,30,Kitchenware,2,285.58,Cash,08-10-2022,Cevahir Mall
I362174,28,Male,71,Shoes,10,2543.44,Cash,05-27-2023,Optimum Outlet
I352249,46,Male,80,Clothing,8,1059.91,Cash,10-17-2023,Marmara Forum
I294184,78,Female,42,Home Appliances,1,1995.8,Credit Card,10-11-2023,Istanbul Sapphire
I840683,100,Female,24,Electronics,6,905.99,Credit Card,01-15-2024,Istinye Park
I305887,29,Female,29,Jewelry,8,1381.27,Debit Card,03-15-2024,Mall of Istanbul
I967512,5,Male,78,Electronics,6,2904.52,Credit Card,10-18-2022,Viaport Outlet
I170538,13,Female,71,Grocery,1,790.0,Debit Card,06-04-2023,Metrocity
I560397,5,Male,63,Garden Supplies,6,937.26,Credit Card,04-01-2024,Mall of Istanbul
I578096,88,Male,78,Furniture,3,1793.91,Credit Card,01-11-2023,Istanbul Sapphire
I463876,44,Female,51,Toys,7,1412.85,Credit Card,05-03-2023,Cevahir Mall
I194901,75,Male,26,Shoes,1,2092.79,Cash,01-11-2024,Istinye Park
I113739,51,Female,67,Toys,7,673.42,Cash,02-06-2024,Metrocity
I882651,24,Female,64,Stationery,6,1735.09,Debit Card,01-24-2023,Istinye Park
I355191,87,Female,42,Sports Equipment,9,2328.58,Credit Card,01-17-2023,Forum Istanbul
I676858,92,Male,53,Beauty,7,2429.57,Credit Card,07-23-2023,Istanbul Sapphire
I006567,50,Male,71,Sports Equipment,10,228.82,Cash,10-13-2022,Zorlu Center
I464629,49,Male,40,Furniture,5,852.01,Credit Card,07-18-2023,Optimum Outlet
I486200,54,Female,78,Electronics,4,1419.19,Credit Card,07-04-2022,Mall of Istanbul
I442637,41,Female,74,Clothing,5,2709.61,Debit Card,09-19-2022,Mall of Istanbul
I789135,29,Female,59,Kitchenware,9,1463.29,Credit Card,03-19-2023,Marmara Forum
I342202,87,Male,19,Furniture,9,2607.37,Credit Card,05-22-2023,Metrocity
I362813,5,Male,32,Stationery,8,2482.35,Credit Card,12-20-2023,Cevahir Mall
I537454,99,Male,37,Garden Supplies,4,438.74,Cash,09-23-2023,Zorlu Center
I309592,88,Female,57,Sports Equipment,1,1968.8,Credit Card,08-28-2023,Mall of Istanbul
I304864,6,Female,33,Electronics,4,1586.74,Credit Card,07-11-2023,Akasya Acıbadem
I584877,2,Female,77,Sports Equipment,10,2459.61,Cash,09-20-2023,Optimum Outlet
I345150,80,Male,75,Stationery,6,2247.5,Credit Card,07-01-2022,Marmara Forum
I572961,5,Male,69,Kitchenware,7,1373.11,Cash,08-26-2023,Cevahir Mall
I937397,35,Female,24,Furniture,2,1916.16,Cash,11-13-2022,Mall of Istanbul
I155013,84,Male,74,Kitchenware,10,1486.88,Credit Card,04-25-2023,Zorlu Center
I446536,30,Male,59,Beauty,1,428.54,Debit Card,01-21-2023,Emaar Square Mall
I197238,61,Female,78,Shoes,2,126.58,Debit Card,11-23-2022,Marmara Forum
I572836,93,Male,68,Beauty,6,667.4,Cash,05-22-2023,Istinye Park
I957760,6,Male,57,Shoes,9,1499.42,Debit Card,05-08-2022,Kanyon
I497757,35,Female,27,Home Appliances,6,121.29,Debit Card,07-26-2023,Viaport Outlet
I516681,63,Female,28,Electronics,10,99.43,Credit Card,02-28-2024,Kanyon
I609103,68,Male,79,Grocery,4,2057.13,Debit Card,05-23-2022,Viaport Outlet
I164798,46,Male,19,Beauty,10,558.81,Debit Card,06-17-2023,Istinye Park
I701236,5,Male,57,Books,7,1760.22,Credit Card,11-24-2022,Emaar Square Mall
I531933,94,Male,49,Beauty,4,1001.2,Credit Card,09-11-2022,Optimum Outlet
I776661,78,Male,80,Shoes,1,1920.85,Cash,06-30-2023,Viaport Outlet
I252922,38,Female,26,Garden Supplies,8,61.74,Cash,12-14-2023,Mall of Istanbul
I273397,66,Male,42,Jewelry,7,1179.92,Debit Card,08-05-2023,Optimum Outlet
I216398,72,Male,49,Kitchenware,8,1896.46,Credit Card,05-26-2023,Forum Istanbul
I982273,64,Female,70,Jewelry,6,1479.96,Credit Card,08-17-2023,Zorlu Center
I424259,51,Male,46,Grocery,9,2229.75,Credit Card,05-21-2023,Metrocity
I616526,73,Female,79,Kitchenware,3,1962.7,Cash,06-14-2022,Kanyon
I560471,85,Male,59,Stationery,1,1204.64,Cash,05-25-2022,Viaport Outlet
I705949,52,Female,18,Toys,9,1150.7,Cash,01-02-2023,Viaport Outlet
I841936,55,Male,18,Clothing,5,2186.69,Debit Card,04-05-2024,Zorlu Center
I905579,78,Male,23,Grocery,9,2019.09,Debit Card,10-17-2022,Emaar Square Mall
I918199,95,Male,44,Shoes,5,1407.75,Cash,05-13-2022,Viaport Outlet
I349998,18,Male,21,Sports Equipment,5,1284.74,Cash,03-24-2023,Zorlu Center
I051929,69,Male,29,Grocery,10,2865.11,Credit Card,04-26-2023,Metropol AVM
I549841,2,Male,72,Home Appliances,2,427.39,Cash,11-16-2023,Akasya Acıbadem
I114217,98,Female,36,Grocery,4,25.63,Debit Card,01-10-2024,Optimum Outlet
I757188,97,Female,32,Electronics,1,166.52,Debit Card,08-25-2022,Forum Istanbul
I850611,62,Male,25,Garden Supplies,8,101.06,Cash,01-29-2024,Mall of Istanbul
I322279,37,Male,28,Furniture,6,1656.26,Debit Card,06-22-2022,Metropol AVM
I370660,18,Female,45,Books,1,2006.75,Debit Card,03-19-2024,Istinye Park
I134587,24,Female,61,Healthcare,1,2466.68,Credit Card,08-29-2023,Akasya Acıbadem
I319262,77,Male,68,Stationery,6,2398.45,Credit Card,05-01-2023,Viaport Outlet
I117645,57,Female,80,Garden Supplies,10,1960.53,Cash,05-13-2023,Emaar Square Mall
I456227,87,Female,47,Electronics,3,456.61,Debit Card,08-26-2022,Cevahir Mall
